0,"cosmo team has adopted this privacy policy (privacy policy) to explain how cosmo collects, stores, and uses the information collected in connection with cosmos services."
0,"for purposes of this privacy policy, non-personal data means information that does not directly identify you.the types of non-personal data cosmo may collect and use include, but are not limited to: application properties, including, but not limited to application name, package name and icon installed on your device.your checkin (include like, recommendation) of a game will be disclosed to all cosmo users."
0,"cosmo may use and disclose to cosmos partners and contractors the collected non-personal data for purposes of analyzing usage of the services, advertisement serving, managing and providing the services and to further develop the services and other cosmo services and products."
0,personal data
0,"for purposes of this privacy policy, personal data means personally identifiable information that specifically identifies you as an individual."
0,"information.the information includes your facebook id, name, gender, location and your friendsid on facebook.cosmo also stores your game checkins, likes, dislikes, recommendations and messages."
0,"please note that certain features of the services may be able to connect to your social networking sites to obtain additional information about you.in such cases, cosmo may be able to collect certain information from your social networking profile when your social networking site permits it, and when you consent to allow your social networking site to make that information available to cosmo.this information may include, but is not limited to, your name, profile picture, gender, user id, email address, your country, your language, your time zone, the organizations and links on your profile page, the names and profile pictures of your social networking site friends and other information you have included in your social networking site profile.cosmo may associate and/or combine as well as use information collected by cosmo and/or obtained through such social networking sites in accordance with this privacy policy."
0,"cosmo collects and processes personal data on a voluntary basis and it is not in the business of selling your personal data to third parties.personal data may, however, occasionally be disclosed in accordance with applicable legislation and this privacy policy.additionally, cosmo may disclose personal data to its parent companies and its subsidiaries in accordance with this privacy policy."
0,"cosmo may hire agents and contractors to collect and process personal data on cosmos behalf and in such cases such agents and contractors will be instructed to comply with our privacy policy and to use personal data only for the purposes for which the third party has been engaged by cosmo.these agents and contractors may not use your personal data for their own marketing purposes.cosmo may use third party service providers such as credit card processors, e-mail service providers, shipping agents, data analyzers and business intelligence providers.cosmo has the right to share your personal data as necessary for the aforementioned third parties to provide their services for cosmo.cosmo is not liable for the acts and omissions of these third parties, except as provided by mandatory law."
0,"cosmo may disclose your personal data to third parties as required by law enforcement or other government officials in connection with an investigation of fraud, intellectual property infringements, or other activity that is illegal or may expose you or cosmo to legal liability.cosmo may also disclose your personal data to third parties when cosmo has a reason to believe that a disclosure is necessary to address potential or actual injury or interference with cosmos rights, property, operations, users or others who may be harmed or may suffer loss or damage, or cosmo believes that such disclosure is necessary to protect cosmos rights, combat fraud and/or comply with a judicial proceeding, court order, or legal process served on cosmo.to the extent permitted by applicable law, cosmo will make reasonable efforts to notify you of such disclosure through cosmos website or in another reasonable manner."
0,"cosmo follows generally accepted industry standards and maintains reasonable safeguards to attempt to ensure the security, integrity and privacy of the information in cosmos possession.only those persons with a need to process your personal data in connection with the fulfillment of their tasks in accordance with the purposes of this privacy policy and for the purposes of performing technical maintenance, have access to your personal data in cosmos possession.personal data collected by cosmo is stored in secure operating environments that are not available to the public.to prevent unauthorized on-line access to personal data, cosmo maintains personal data behind a firewall-protected server.however, no system can be 100% secure and there is the possibility that despite cosmos reasonable efforts, there could be unauthorized access to your personal data.by using the services, you assume this risk."
0,"please be aware of the open nature of certain social networking and other open features of the services cosmo may make available to you.you may choose to disclose data about yourself in the course of contributing user generated content to the services.any data that you disclose in any of these forums, blogs, chats or the like is public information, and there is no expectation of privacy or confidentiality.cosmo is not responsible for any personal data you choose to make public in any of these forums."
0,"if you are under 15 years of age or a minor in your country of residence, please ask your legal guardians permission to use or access the services.cosmo takes childrens privacy seriously, and encourages parents and/or guardians to play an active role in their childrens online experience at all times.cosmo does not knowingly collect any personal information from children below the aforementioned age and if cosmo learns that cosmo has inadvertently gathered personal data from children under the aforementioned age, cosmo will take reasonable measures to promptly erase such personal data from cosmos records."
0,"cosmo may store and/or transfer your personal data to its affiliates and partners in and outside of eu/eea member states and the united states in accordance with mandatory legislation and this privacy policy.cosmo may disclose your personal data to third parties in connection with a corporate merger, consolidation, restructuring, the sale of substantially all of cosmos stock and/or assets or other corporate change, including, without limitation, during the course of any due diligence process provided, however, that this privacy policy shall continue to govern such personal data."
0,"cosmo regularly reviews its compliance with this privacy policy.if cosmo receives a formal written complaint from you, it is cosmos policy to attempt to contact you directly to address any of your concerns.cosmo will cooperate with the appropriate governmental authorities, including data protection authorities, to resolve any complaints regarding the collection, use, transfer or disclosure of personal data that cannot be amicably resolved between you and cosmo."
1,"by installing, using, registering to or otherwise accessing the services, you agree to this privacy policy and give an explicit and informed consent to the processing of your personal data in accordance with this privacy policy.if you do not agree to this privacy policy, please do not install, use, register to or otherwise access the services.cosmo reserves the right to modify this privacy policy at reasonable times, so please review it frequently.if cosmo makes material or significant changes to this privacy policy, cosmo may post a notice on cosmos website along with the updated privacy policy.your continued use of services will signify your acceptance of the changes to this privacy policy."
1,non-personal data
1,personal information collected by cosmo is information voluntarily provided to us by you when you create your account or change your account
1,"cosmo may use collected personal data for purposes of analyzing usage of the services, providing customer and technical support, managing and providing services (including managing advertisement serving) and to further develop the services and other cosmo services and products.cosmo may combine non-personal data with personal data."
2,you recognize and agree that the analytics companies utilized by cosmo may combine the information collected with other information they have independently collected from other services or products relating to your activities.these companies collect and use information under their own privacy policies.
2,disclosure and transfer of personal data
2,mail: cosmo39@outlook.com
6,contact us
9,safeguards
9,other
