0,ulash apps privacy policy
0,welcome to ulash apps!
0,"thanks for using our products and services (products).the products are provided by ulash apps llc (ulash apps, we or us), a business registered and doing business in california, united states."
0,you must follow any policies made available to you within the products.
0,"using our products does not give you ownership of any intellectual property rights in our products or the content you access.you may not use content from our products unless you obtain permission from its owner or are otherwise permitted by law.these terms do not grant you the right to use any branding or logos used in our products.dont remove, obscure, or alter any legal notices displayed in or along with our products."
0,"our products display some content that is not ulash appss.this content is the sole responsibility of the entity that makes it available.we may review content to determine whether it is illegal or violates our policies, and we may remove or refuse to display content that we reasonably believe violates our policies or the law.but that does not necessarily mean that we review content, so please dont assume that we do."
0,some of our products are available on mobile devices.do not use such products in a way that distracts you and prevents you from obeying traffic or safety laws.
0,we respond to notices of alleged copyright infringement according to the process set out in the u.s. digital millennium copyright act.
0,"if you think somebody is violating your copyrights and want to notify us, you can submit notices via our copyright dmca form."
0,about software in our products
0,modifying and terminating our products
0,our warranties and disclaimers
0,we provide our products using a commercially reasonable level of skill and care and we hope that you will enjoy using them.but there are certain things that we dont promise about our products.
0,"other than as expressly set out in these terms or additional terms, neither ulash apps nor its suppliers or distributors make any specific promises about the products.for example, we dont make any commitments about the content within the products, the specific functions of the products, or their reliability, availability, or ability to meet your needs.we provide the products as is."
0,"some jurisdictions provide for certain warranties, like the implied warranty of merchantability, fitness for a particular purpose and non-infringement.to the extent permitted by law, we exclude all warranties."
0,liability for our products
0,"when permitted by law, ulash apps, and ulash appss suppliers and distributors, will not be responsible for lost profits, revenues, or data, financial losses or indirect, special, consequential, exemplary, or punitive damages."
0,"to the extent permitted by law, the total liability of ulash apps, and its suppliers and distributors, for any claims under these terms, including for any implied warranties, is limited to the amount you paid us to use the products (or, if we choose, to supplying you the products again)."
0,about these terms
0,"we may modify these terms or any additional terms that apply to a product to, for example, reflect changes to the law or changes to our products.you should look at the terms regularly.well post notice of modifications to these terms on this page.changes will not apply retroactively and will become effective no sooner than fourteen days after they are posted.however, changes addressing new functions for a product or changes made for legal reasons will be effective immediately.if you do not agree to the modified terms for a product, you should discontinue your use of that product."
0,"if there is a conflict between these terms and the additional terms, the additional terms will control for that conflict."
0,these terms control the relationship between ulash apps and you.they do not create any third party beneficiary rights.
0,"if you do not comply with these terms, and we dont take action right away, this doesnt mean that we are giving up any rights that we may have (such as taking action in the future)."
0,"the laws of california, u.s.a., excluding californias conflict of laws rules, will apply to any disputes arising out of or relating to these terms or the products.all claims arising out of or relating to these terms or the products will be litigated exclusively in the federal or state courts of santa clara county, california, usa, and you and ulash apps consent to personal jurisdiction in those courts."
1,"in connection with your use of the products, we may send you service announcements, administrative messages, and other information.you may opt out of some of those communications."
1,privacy and copyright protection
1,"ulash appss privacy policy explain how we treat your personal data and protect your privacy when you use our products.by using our products, you agree that ulash apps can use such data in accordance with our privacy policies."
1,"ulash apps gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use the software provided to you by ulash apps as part of the products.this license is for the sole purpose of enabling you to use and enjoy the benefit of the products as provided by ulash apps, in the manner permitted by these terms.you may not copy, modify, distribute, sell, or lease any part of our products or included software, nor may you reverse engineer or attempt to extract the source code of that software, unless laws prohibit those restrictions or you have our written permission."
1,"you can stop using our products at any time, although well be sorry to see you go.ulash apps may also stop providing products to you, or add or create new limits to our products at any time."
2,using our products
2,"dont misuse our products.for example, dont interfere with our products or try to access them using a method other than the interface and the instructions that we provide.you may use our products only as permitted by law, including applicable export and re-export control laws and regulations.we may suspend or stop providing our products to you if you do not comply with our terms or policies or if we are investigating suspected misconduct."
2,"in all cases, ulash apps, and its suppliers and distributors, will not be liable for any loss or damage that is not reasonably foreseeable."
2,"if you are using our products on behalf of a business, that business accepts these terms.it will hold harmless and indemnify ulash apps and its affiliates, officers, agents, and employees from any claim, suit or action arising from or related to the use of the products or violation of these terms, including any liability or expense arising from claims, losses, damages, suits, judgments, litigation costs and attorneys fees."
5,"when a product requires or includes downloadable software, this software may update automatically on your device once a new version or feature is available.some products may let you adjust your automatic update settings."
5,"if it turns out that a particular term is not enforceable, this will not affect any other terms."
9,"by using our products, you are agreeing to these terms.please read them carefully."
9,"we are constantly changing and improving our products.we may add or remove functionalities or features, and we may suspend or stop a product altogether."
9,business uses of our products
